Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
coscia_sx_rx_Link,"-0,006072","-0,046136","-0,00022508",0,0,0,"11,887","0,3036","0,00059147","-7,3206E-05","0,045075","0,02411","0,29738",0,0,0,0,0,0,package://umanoa/meshes/coscia_sx_rx_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/coscia_sx_rx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/LeftThighCalfFoot ArtM ASM.STEP-1/Thigh ArtM.STEP-1,sancasx,aancasx_x,anca_sx_rx,revolute,0,0,0,0,0,0,coscia_sx_Link,-1,0,0,0,0,"-1,74","0,52",,,,,,,,
coscia_sx_ry_Link,"-0,00607204020530218","-0,0461359748866554","-0,000225075287491326",0,0,0,"11,886776881057","0,303598011640181","0,000591472914415259","-7,32059163231502E-05","0,0450746920057602","0,024110139094956","0,297384762883386",0,0,0,0,0,0,package://umanoa/meshes/coscia_sx_ry_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/coscia_sx_ry_Link.STL,,Articulating Man Complete ASMstp.STEP-1/LeftThighCalfFoot ArtM ASM.STEP-1/Thigh ArtM.STEP-1,sancasx,a_anca_sx_y,anca_sx_ry,revolute,0,0,0,0,0,0,coscia_sx_rx_Link,0,1,0,0,0,"-1,57","1,57",,,,,,,,
coscia_sx_rz_Link,"-0,00607204020530218","-0,0461359748866554","-0,000225075287491326",0,0,0,"11,886776881057","0,303598011640181","0,000591472914415259","-7,32059163231502E-05","0,0450746920057602","0,024110139094956","0,297384762883386",0,0,0,0,0,0,package://umanoa/meshes/coscia_sx_rz_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/coscia_sx_rz_Link.STL,,Articulating Man Complete ASMstp.STEP-1/LeftThighCalfFoot ArtM ASM.STEP-1/Thigh ArtM.STEP-1,sancasx,a_anca_sx_z,anca_sx_rz,revolute,0,0,0,0,0,0,coscia_sx_ry_Link,0,0,1,0,0,"-0,7","0,35",,,,,,,,
polpaccio_sx_rx_Link,"-0,000304376364054643","-0,105874814203783","-0,0466388955605134",0,0,0,"6,86310250556743","0,139910202667","-4,91566097376849E-05","-1,85162512352105E-05","0,0209985608427251","-0,0259074740816005","0,13416676775691",0,0,0,0,0,0,package://umanoa/meshes/polpaccio_sx_rx_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/polpaccio_sx_rx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/LeftThighCalfFoot ArtM ASM.STEP-1/Calf ArtM.STEP-1,sginocchiosx,aginocchiosx,ginocchio_sx_rx,revolute,"-0,0061689","-0,35444","0,028771",0,0,0,coscia_sx_rz_Link,1,0,0,0,0,"0,66","-1,57",,,,,,,,
piede_sx_rx_Link,"-0,00114662703793376","-0,0151448914064408","0,0583777382316568",0,0,0,"2,49652450251182","0,0109291066101329","-8,51264846863562E-06","0,000197722472104845","0,0110450676639959","0,000630741708385516","0,0027229068714671",0,0,0,0,0,0,package://umanoa/meshes/piede_sx_rx_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://umanoa/meshes/piede_sx_rx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/LeftThighCalfFoot ArtM ASM.STEP-1/Left Foot ArtM.STEP-1,scavigliasx,acavigliasx,cavilgia_sx_rx,revolute,"5,0188E-05","-0,37001","-0,1041",0,0,0,polpaccio_sx_rx_Link,-1,0,0,0,0,"-0,35","0,7",,,,,,,,
piede_sx_ry_Link,"-0,00114662703793376","-0,0151448914064408","0,0583777382316568",0,0,0,"2,49652450251182","0,0109291066101329","-8,51264846863559E-06","0,000197722472104845","0,0110450676639959","0,000630741708385516","0,0027229068714671",0,0,0,0,0,0,package://umanoa/meshes/piede_sx_ry_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://umanoa/meshes/piede_sx_ry_Link.STL,,Articulating Man Complete ASMstp.STEP-1/LeftThighCalfFoot ArtM ASM.STEP-1/Left Foot ArtM.STEP-1,scavigliasx,caviglia_sx_y,caviglia_sx_ry,revolute,0,0,0,0,0,0,piede_sx_rx_Link,0,-1,0,0,0,"-0,52","0,52",,,,,,,,
piede_sx_Link,"-0,00114662703793378","-0,0151448914064408","0,0583777382316568",0,0,0,"2,49652450251182","0,0109291066101329","-8,51264846863559E-06","0,000197722472104845","0,0110450676639959","0,000630741708385516","0,0027229068714671",0,0,0,0,0,0,package://umanoa/meshes/piede_sx_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://umanoa/meshes/piede_sx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/LeftThighCalfFoot ArtM ASM.STEP-1/Left Foot ArtM.STEP-1,scavigliasx,,caviglia_sx,fixed,0,0,0,0,0,0,piede_sx_ry_Link,0,0,0,,,,,,,,,,,,
busto_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://umanoa/meshes/busto_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/busto_Link.STL,,Articulating Man Complete ASMstp.STEP-1/Trunk2_smaller ArtM.STEP-1,s_bacino,,busto,fixed,0,0,"0,0127","1,5708",0,0,bacino_link,0,0,0,,,,,,,,,,,,
busto_rx_Link,"-7,08042820760823E-06","0,319417381127728","0,00430747877918096",0,0,0,"42,2207301568567","1,30999404753053","-9,29927456062644E-06","-1,15057509719603E-05","0,609099091757231","-0,00512165621586603","1,66563031781146",0,0,0,0,0,0,package://umanoa/meshes/busto_rx_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/busto_rx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/Trunk2_smaller ArtM.STEP-1,s_bacino,a_bacino_x,colon_rx,revolute,0,0,0,0,0,0,busto_Link,-1,0,0,0,0,"-1,57","0,44",,,,,,,,
busto_ry_Link,"-7,08042820760887E-06","0,319417381127728","0,00430747877918096",0,0,0,"42,2207301568568","1,30999404753053","-9,29927456062347E-06","-1,15057509719562E-05","0,609099091757231","-0,00512165621586603","1,66563031781146",0,0,0,0,0,0,package://umanoa/meshes/busto_ry_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/busto_ry_Link.STL,,Articulating Man Complete ASMstp.STEP-1/Trunk2_smaller ArtM.STEP-1,s_bacino,a_bacino_y,colon_ry,revolute,0,0,0,0,0,0,busto_rx_Link,0,1,0,0,0,"-0,78","0,78",,,,,,,,
